trigger_phrase,intent_category,detection_keywords,recommended_response,ai_actions,personalization_tokens,next_best_step,priority,notes
Does it include accidental coverage?,Interest,accident;AD&D;rider,"We can add an accidental death and disability rider. It enhances protection for events like traffic accidents, with benefits up to {currency}{accident_benefit}.",present_rider_options;calculate_rider_cost;log_intent_rider,{accident_benefit},Offer rider bundle recommendation.,2,Explain exclusions clearly.
Can I increase coverage later?,Interest,increase coverage;top up,"Yes—you can request a coverage increase at policy anniversaries or life events (marriage, newborn). We’ll reassess with simple steps.",show_policy_rules;schedule_review;log_intent_flexibility,{policy_anniversary},Set expectation for underwriting if large increase.,3,Capture future review reminder.
Do you have family plans?,Interest,family plan;joint;bundle,We offer bundles that cover you and {spouse_kids}. Bundling can reduce total premium by {discount_percent}%.,bundle_family;calculate_bundle_savings;log_intent_family,"{spouse_kids},{discount_percent}",Propose joint application.,2,Verify consent for multi-party data.
Is there a cash value option?,Interest,cash value;whole life;savings,"Yes—our {whole_life_product} builds cash value over time, which you can borrow against or surrender if needed.",surface_whole_life;simulate_cash_value;log_intent_savings,{whole_life_product},Explain difference vs term.,2,Provide projection chart.
I need to think about it.,Hesitation,think;later;not sure,Totally understandable. I’ll send a concise summary tailored to {persona} and schedule a quick follow-up for {followup_time}. Would that help?,send_summary_email;schedule_followup;log_objection_think,"{persona},{followup_time}",Confirm preferred channel and time.,1,Use empathy tone. Avoid pressure.
I'll talk to my spouse first.,Hesitation,spouse;partner;family decision,Great idea. I can share a side-by-side comparison for both of you and set a joint call at {followup_time}.,send_joint_summary;schedule_joint_call;log_objection_spouse,{followup_time},Offer co-decision tools.,2,Capture spouse name if consented.
I'm not sure if I need this.,Hesitation,not sure;uncertain;do I need,Many clients like {persona} choose coverage to ensure {goal} is protected. Could I share 2 common scenarios relevant to you?,present_use_cases;log_objection_need,"{persona},{goal}","Move to storytelling (education, mortgage).",2,Assess risk tolerance.
I already have some coverage.,Hesitation,already have;existing policy,That’s good. We can do a quick gap analysis to ensure your coverage still matches {life_stage}. Many find they’re under-covered on {gap_area}.,offer_gap_analysis;log_existing_policy,"{life_stage},{gap_area}",Ask for current policy details.,2,Propose supplemental rider if needed.
I'm worried about the cost.,Hesitation,expensive;costly;budget concern,"Let’s set a comfortable budget first, then tailor coverage. Most clients choose {currency}{premium_target}/month with {currency}{coverage_target} coverage.",budget_slider;recommend_affordable_plan;log_objection_cost,"{premium_target},{coverage_target}",Anchor on affordability.,1,Offer annual discount option.
I don't have time right now.,Hesitation,no time;busy;later,No problem—shall I send a 1-minute summary and book a 10-minute slot at {followup_time}?,send_micro_summary;schedule_short_call;log_objection_time,{followup_time},Keep next step lightweight.,2,Offer chat/WhatsApp alternative if compliant.
I'm comparing other options.,Hesitation,compare;shopping around,Happy to help you compare. We can do a neutral side-by-side against your criteria: {criteria_list}.,enable_comparison_tool;log_objection_compare,{criteria_list},Shift to advisor role.,2,Avoid negative talk about competitors.
I don't trust insurance companies.,Hesitation,trust;skeptical;scam,I hear you. We’re regulated by {regulator} and rated {rating}. I can share real claim stories and timelines.,show_regulatory_info;share_claim_case_studies;log_objection_trust,"{regulator},{rating}",Provide transparent proof points.,1,Offer third-party reviews.
I've had a bad experience before.,Hesitation,bad experience;previous issue,Sorry to hear that. May I ask what happened so we can ensure this plan avoids those pitfalls?,capture_experience_details;log_objection_experience,,"Use active listening, then tailor response.",1,Escalate if complex compliance matter.
"I'm healthy, so I don't think I need it.",Hesitation,healthy;no need,"That’s great to hear. Many healthy clients lock in lower premiums now, protecting against unforeseen events while rates are favorable.",present_healthy_benefits;log_objection_healthy,,Reframe as opportunity.,2,Avoid fear tactics.
I'm too young for life insurance.,Hesitation,too young;later,Starting early often means the lowest premiums and longest protection. We can begin with a minimal plan and scale as life changes.,show_age_advantages;log_objection_young,,Offer starter plan.,2,Include future upgrade path.
I'll wait until next year.,Hesitation,wait;next year;postpone,"Totally fine. May I set a reminder for {followup_time}? Also, locking rates now can save {currency}{potential_savings} over {years} years.",schedule_reminder;simulate_rate_lock_savings;log_objection_delay,"{followup_time},{potential_savings},{years}",Balance respect and incentive.,3,Offer limited-time promo if available.
What happens if I cancel?,Information,cancel;terminate;surrender,"You can cancel anytime. Depending on plan type, you may receive a surrender value after {years}. I’ll outline fees and timelines clearly.",show_cancellation_rules;calculate_surrender_value;log_info_cancel,{years},Be transparent about fees.,2,Confirm free-look period details.
Is there a medical check-up?,Information,medical exam;health check;underwriting,"Many plans don’t require an exam—just a simple questionnaire. For higher coverage, a quick medical check may be needed.",show_underwriting_requirements;log_info_medical,,Clarify thresholds.,2,Offer nurse visit options if applicable.
How long does the process take?,Information,process time;approve;duration,Application takes about {apply_minutes} minutes; typical approval within {approval_hours} hours.,present_timeline;log_info_process,"{apply_minutes},{approval_hours}",Set clear expectations.,1,"If urgent, prioritize fast-track underwriting."
What documents do I need?,Information,documents;paperwork;requirements,"Usually just ID, address, and income proof. I’ll send a checklist.",send_document_checklist;log_info_docs,,Reduce friction.,2,Offer digital upload instructions.
Is this tax-deductible?,Information,tax;deductible;benefit,In many cases premiums or benefits have tax considerations. I’ll share a general guide and suggest consulting a tax advisor.,send_tax_guide;log_info_tax;compliance_disclaimer,,Avoid giving specific tax advice.,1,Localize by country/region.
What's the claim process like?,Information,claim;file a claim;benefit payout,"Claims are straightforward: notify us, submit documents, and average payout time is {payout_days} days. I can share a step-by-step guide.",send_claim_guide;log_info_claim,{payout_days},Provide reassurance.,1,Offer hotline info.
How soon does coverage start?,Information,coverage start;effective date,Coverage typically starts after approval—often the same day for standard cases.,confirm_effective_date;log_info_effective,,Encourage immediate application.,1,Address any waiting period if applicable.
What's the difference between term and whole life?,Information,term vs whole;policy type,Term offers pure protection at lower cost; whole life adds savings/cash value. I can show a 2-minute comparison.,send_term_vs_whole_comparison;log_info_types,,Educate neutrally.,2,Include scenario-based examples.
Is there a waiting period?,Information,waiting period;exclusion;contestability,Some benefits have waiting periods like {waiting_months} months. I’ll list specifics for your chosen plan.,show_waiting_periods;log_info_waiting,{waiting_months},Transparency reduces surprises.,2,Highlight critical illness waiting periods.
Can I name multiple beneficiaries?,Information,beneficiary;nominee;multiple,Yes—you can add several beneficiaries and set percentages. I’ll provide a form.,send_beneficiary_form;log_info_beneficiary,,Encourage clarity to avoid disputes.,2,Offer guidance on updates after life events.
What happens if I miss a payment?,Information,miss payment;grace period,There’s a grace period of {grace_days} days. We’ll notify you and you can reinstate easily.,show_grace_period;send_payment_reminder;log_info_payment,{grace_days},Reduce anxiety.,2,Explain reinstatement conditions.
Is this regulated by the government?,Information,regulator;licensed;compliance,"Yes—our policies are regulated by {regulator}. We’re audited regularly, and claims follow strict standards.",show_regulatory_info;log_info_regulation,{regulator},Build trust.,1,"Localize regulator name (e.g., OIC in Thailand)."
Can I manage my policy online?,Information,online;app;manage,"You can view, update, and download documents via our app or portal.",link_to_portal;log_info_online,,Promote self-service.,3,Offer onboarding tutorial.
What happens if I move abroad?,Information,move abroad;relocate;overseas,"Coverage often continues, but some benefits vary by country. I’ll check your destination and confirm.",check_international_rules;log_info_abroad,{destination_country},Avoid assumptions; verify.,2,Flag currency and tax considerations.
Is there a free-look period?,Information,free look;cooling-off,Yes—you can cancel within {free_look_days} days for a full refund.,show_free_look;log_info_free_look,{free_look_days},Increase comfort to sign.,1,Add to closing script.
Can I reinstate a lapsed policy?,Information,reinstate;lapsed,"Usually yes within {reinstate_window} days, with a simple form and possible health declaration.",show_reinstatement_rules;log_info_reinstate,{reinstate_window},Give confidence in recovery.,3,Offer autopay to prevent lapses.
Are there exclusions?,Information,exclusions;not covered,We’ll clearly list exclusions like {exclusion_examples}. I’ll send the full policy wording.,send_policy_wording;log_info_exclusions,{exclusion_examples},Ensure understanding.,1,Use simple language for key exclusions.
What's the suicide clause?,Information,suicide clause;contestability,Most policies have a suicide exclusion for {months} months after issue. I’ll share the exact wording.,send_policy_wording;log_info_suicide_clause,{months},Handle sensitively.,1,Follow empathy guidelines.
Will premiums increase over time?,Information,premium increase;step-up;indexation,That depends on plan. Term may adjust at renewal; whole life is typically level. You can opt for indexation to keep pace with inflation.,show_premium_schedule;log_info_indexation,,Educate on trade-offs.,2,Provide projection charts.
Can I take a policy loan?,Information,policy loan;borrow;cash value,Whole life policies allow loans against cash value up to {currency}{loan_limit}.,simulate_policy_loan;log_info_loan,{loan_limit},Explain interest and impact on benefits.,3,Include repayment examples.
How soon can I get approved?,Urgency,approval time;fast;quick,Standard approvals take {approval_hours} hours. We can begin now and you’ll be notified right away.,fast_track_underwriting;log_intent_urgency,{approval_hours},Push to start application.,1,Pre-fill from CRM.
Is there a deadline for this offer?,Urgency,deadline;expiry;promotion end,"Yes—this offer ends on {promo_end_date}. If you’d like, we can lock it in today.",verify_promo_date;lock_offer;log_intent_urgency,{promo_end_date},Create urgency ethically.,1,Avoid artificial pressure.
Can you send me the application now?,Urgency,send application;form now,Sure—sending the secure link now. Do you prefer SMS or email?,send_application_link;log_intent_urgency,,Eliminate friction.,1,Confirm channel preference.
Can we do this over the phone now?,Urgency,over the phone;complete now,Yes—I'll guide you step by step. We’ll complete disclosures and submit together.,start_phone_application;log_intent_urgency,,Go into application flow.,1,Ensure recording and compliance.
What if I lose my job?,Risk,lose job;unemployed;income loss,"We can add a premium holiday or waiver feature, so your policy stays active during tough times.",present_waiver_options;log_risk_job,,Reduce anxiety with safeguards.,2,Clarify eligibility for waiver.
What if I get sick?,Risk,get sick;illness;hospital,"Consider adding a critical illness rider covering {illness_count}+ conditions, paying a lump sum upon diagnosis.",present_critical_illness_rider;log_risk_health,{illness_count},Position rider benefits.,2,Provide condition list summary.
What if I die in an accident?,Risk,accident death;AD&D,An accidental death rider increases payout for covered events.,present_accident_rider;log_risk_accident,,Protect against specific scenarios.,3,Clarify exclusions.
What if I live longer than expected?,Risk,longevity;outlive,"Whole life or endowment plans can build savings/cash value, providing funds later in life.",surface_savings_options;log_risk_longevity,,Reframe longevity as positive.,3,Link to retirement planning.
What if I can't pay later?,Risk,can't pay;afford later;payment risk,"We can set up autopay and reminders, plus discuss lower coverage to keep premiums manageable.",enable_autopay;send_reminders;log_risk_payment,,Prevent lapses.,2,Offer budget review annually.
What if the company goes bankrupt?,Risk,bankrupt;insurer failure,Policies are regulated by {regulator}; we maintain solvency ratios above {ratio}.,show_financial_strength;log_risk_company,"{regulator},{ratio}",Build institutional trust.,2,Share rating agency reports.
I hate paperwork.,Hesitation,paperwork;forms;documents,We keep it simple—digital application and e-sign. I’ll handle the steps for you.,enable_e_sign;send_simplified_steps;log_objection_paperwork,,Minimize friction.,2,Offer concierge assistance.
I fear hidden fees.,Hesitation,hidden fees;charges;penalties,We provide transparent fee disclosure before sign-up. I’ll send the exact fee table.,send_fee_table;log_objection_fees,,Transparency builds trust.,1,Explain surrender fees clearly.
Not interested.,Hesitation,not interested;no thanks,Understood. May I share a 30-second summary in case timing changes?,send_micro_summary;log_objection_not_interested,,"Respect boundaries, low-pressure.",3,Honor opt-out preferences.
