stage_id,stage_name,step_order,script_id,language,script_text,intention,data_capture_fields,trigger_mapping,suggested_next_stage,personalization_tokens,ai_action_hint,notes,version
STG-03,Qualification,7,QLF_07,en,"If protection is the goal: roughly how much coverage feels right—{currency}0.5M, {currency}1M, {currency}2M+?",Coverage sizing,desired_coverage,,,"{customer_name},{company_name}",coverage_calculator,,v1
STG-03,Qualification,8,QLF_08,en,"Do you have dependents (partner, kids, parents) who rely on your income?",Dependency check,dependents_count,,,"{customer_name},{company_name}",recommend_family_plans,,v1
STG-03,Qualification,9,QLF_09,en,Would you like optional riders like critical illness or accidental death?,Rider interest,rider_interest,,,"{customer_name},{company_name}",surface_riders,,v1
STG-03,Qualification,10,QLF_10,en,"Are you looking for a plan that builds savings/cash value, or strictly protection?",Savings vs protection,cash_value_interest,,,"{customer_name},{company_name}",toggle_product_type,,v1
STG-04,Intent & Objective,1,OBJ_01,en,"What prompted you to consider insurance now—new family member, mortgage, work, or peace of mind?",Context discovery,life_event,,,"{customer_name},{company_name}",contextual_recommend,,v1
STG-04,Intent & Objective,2,OBJ_02,en,"If something happened, which outcome matters most: replace income, pay debts, fund children’s education, or cover medical?",Outcome prioritization,primary_outcome,,,"{customer_name},{company_name}",,,v1
STG-04,Intent & Objective,3,OBJ_03,en,Would a policy focused on legacy (whole life) or flexible term protection fit better?,Product direction,product_direction,,,"{customer_name},{company_name}",branch_productline,,v1
STG-04,Intent & Objective,4,OBJ_04,en,Do you prefer guaranteed values at maturity (endowment) or lower premiums with higher protection (term)?,Trade-off discovery,preference_tradeoff,,,"{customer_name},{company_name}",,,v1
STG-04,Intent & Objective,5,OBJ_05,en,"Thinking ahead, do you expect your protection needs to grow (kids, bigger mortgage)?",Future scaling,growth_expectation,,,"{customer_name},{company_name}",offer_indexation,,v1
STG-04,Intent & Objective,6,OBJ_06,en,Would you like a plan that can be adjusted later—coverage increases at life events?,Flexibility interest,flexibility_interest,,,"{customer_name},{company_name}",show_policy_rules,,v1
STG-04,Intent & Objective,7,OBJ_07,en,"Any specific concerns—accidents, cancer, hospital bills—you want covered?",Risk focus,risk_concerns,,,"{customer_name},{company_name}",map_to_riders,,v1
STG-04,Intent & Objective,8,OBJ_08,en,"For retirement, do you prefer a monthly income or a one-time payout plan?",Retirement style,retirement_style,,,"{customer_name},{company_name}",annuity_vs_endowment,,v1
STG-04,Intent & Objective,9,OBJ_09,en,Do you want your premiums or benefits to keep pace with inflation?,Indexation need,indexation_interest,,,"{customer_name},{company_name}",enable_indexation,,v1
STG-04,Intent & Objective,10,OBJ_10,en,"Is there someone else involved in the decision (spouse, partner) we should include?",Co-decision check,co_decider,,,"{customer_name},{company_name}",schedule_joint_call,,v1
STG-05,Budget,1,BDG_01,en,"Let’s pick a comfortable monthly range—would {currency}500–{currency}1,000 be okay, or {currency}1,000–{currency}2,000?",Budget bracket,budget_month,,,"{customer_name},{company_name}",filter_by_budget,,v1
STG-05,Budget,2,BDG_02,en,"If we can start with a smaller premium and increase later, would that help?",Budget flexibility,budget_flex,,,"{customer_name},{company_name}",stage_plan,,v1
STG-05,Budget,3,BDG_03,en,Annual payments can save ~5–8%. Would you consider annual to reduce total cost?,Discount prompt,payment_frequency,,,"{customer_name},{company_name}",switch_frequency,,v1
STG-05,Budget,4,BDG_04,en,We can show two options: lowest premium vs balanced protection. Which would you like to see first?,Option framing,option_preference,,,"{customer_name},{company_name}",show_options,,v1
STG-05,Budget,5,BDG_05,en,"If budget is tight, we can add riders later. Would starting with core protection be better?",Prioritize essentials,start_core_only,,,"{customer_name},{company_name}",defer_riders,,v1
STG-05,Budget,6,BDG_06,en,Do you prefer fixed premiums or the ability to index benefits over time?,Premium style,premium_style,,,"{customer_name},{company_name}",premium_schedule,,v1
STG-05,Budget,7,BDG_07,en,"If we lock rates today, it can save {currency}{potential_savings} over {years} years—would you like to see that comparison?",Rate-lock incentive,rate_lock_interest,,,"{customer_name},{company_name}",rate_lock_sim,,v1
STG-05,Budget,8,BDG_08,en,Would autopay/reminders help you stay within budget without worrying about missed payments?,Lapse prevention,autopay_interest,,,"{customer_name},{company_name}",enable_autopay,,v1
STG-06,Coverage & Risk,1,COV_01,en,"A common way to size coverage is income × years. What multiple feels right—5, 10, or 15 years?",Coverage sizing,coverage_multiple,,,"{customer_name},{company_name}",coverage_calculator,,v1
STG-06,Coverage & Risk,2,COV_02,en,"Do you want accidental death benefits added for specific events (traffic, travel)?",Rider selection,accident_rider,,,"{customer_name},{company_name}",present_rider_options,,v1
STG-06,Coverage & Risk,3,COV_03,en,Would critical illness coverage that pays a lump sum upon diagnosis be valuable for you?,Rider selection,ci_rider,,,"{customer_name},{company_name}",present_rider_options,,v1
STG-06,Coverage & Risk,4,COV_04,en,Are hospital income benefits important—for daily cash while hospitalized?,Rider selection,hospital_income_rider,,,"{customer_name},{company_name}",present_rider_options,,v1
STG-06,Coverage & Risk,5,COV_05,en,"Do you prefer level coverage or decreasing coverage (e.g., mortgage-linked)?",Coverage structure,coverage_structure,,,"{customer_name},{company_name}",map_to_decreasing_term,,v1
STG-06,Coverage & Risk,6,COV_06,en,Would you like multiple beneficiaries with percentage splits?,Beneficiary setup,beneficiary_setup,,,"{customer_name},{company_name}",beneficiary_form,,v1
STG-06,Coverage & Risk,7,COV_07,en,Should we factor in education costs for children when setting coverage?,Family coverage planning,education_goal,,,"{customer_name},{company_name}",education_projection,,v1
STG-06,Coverage & Risk,8,COV_08,en,Do you want the ability to increase coverage at major life events without full underwriting?,Future flexibility,guaranteed_insurability,,,"{customer_name},{company_name}",show_policy_rules,,v1
STG-07,Health & Eligibility,1,HLT_01,en,Any ongoing treatments or major diagnoses we should consider?,Health screening,health_status,,,"{customer_name},{company_name}",underwriting_path,,v1
STG-07,Health & Eligibility,2,HLT_02,en,Are you a smoker or non-smoker?,Risk factor,smoker_status,,,"{customer_name},{company_name}",rating_adjustment,,v1
STG-07,Health & Eligibility,3,HLT_03,en,Height and weight range (approx.) to estimate rates?,Risk factor,bmi_range,,,"{customer_name},{company_name}",rating_adjustment,,v1
STG-07,Health & Eligibility,4,HLT_04,en,"Any family history of critical illnesses (e.g., cancer, heart)?",Risk factor,family_history,,,"{customer_name},{company_name}",ci_rider_suggest,,v1
STG-07,Health & Eligibility,5,HLT_05,en,Do you travel frequently or work in higher-risk environments?,Lifestyle risk,risk_occupation_travel,,,"{customer_name},{company_name}",accident_rider_suggest,,v1
STG-07,Health & Eligibility,6,HLT_06,en,"If higher coverage is desired, are you comfortable with a quick medical check?",Underwriting consent,exam_consent,,,"{customer_name},{company_name}",book_medical,,v1
STG-07,Health & Eligibility,7,HLT_07,en,Would you prefer a plan that avoids medical exams (simplified underwriting)?,Underwriting preference,simplified_pref,,,"{customer_name},{company_name}",filter_simplified,,v1
STG-07,Health & Eligibility,8,HLT_08,en,Any medication or allergies we should note for compliance?,Compliance capture,medication_allergies,,,"{customer_name},{company_name}",compliance_note,,v1
STG-08,Product Education,1,EDU_01,en,Term vs Whole: term is lower cost for pure protection; whole life adds savings/cash value.,Educate,,INFO_TERM_VS_WHOLE,,"{customer_name},{company_name}",send_comparison,,v1
STG-08,Product Education,2,EDU_02,en,Endowment: pay for a set term and receive guaranteed maturity benefits.,Educate,,INFO_ENDOWMENT,,"{customer_name},{company_name}",send_endowment_guide,,v1
STG-08,Product Education,3,EDU_03,en,Critical illness rider pays a lump sum upon diagnosis of covered conditions.,Educate,,INFO_CI,,"{customer_name},{company_name}",send_ci_list,,v1
STG-08,Product Education,4,EDU_04,en,Accident rider enhances payout for covered accidents like traffic events.,Educate,,INFO_ACCIDENT,,"{customer_name},{company_name}",send_accident_rider_info,,v1
STG-08,Product Education,5,EDU_05,en,Hospital income rider pays daily cash during hospitalization—helps with incidental expenses.,Educate,,INFO_HOSPITAL_INCOME,,"{customer_name},{company_name}",send_hosp_income_info,,v1
STG-08,Product Education,6,EDU_06,en,Free-look period lets you cancel within {free_look_days} days and get a full refund.,Assurance,,INFO_FREE_LOOK,,"{customer_name},{company_name}",policy_wording,,v1
STG-08,Product Education,7,EDU_07,en,Grace period for missed payments is typically {grace_days} days; reinstatement is simple.,Assurance,,INFO_GRACE_PERIOD,,"{customer_name},{company_name}",send_payment_policy,,v1
STG-08,Product Education,8,EDU_08,en,We are regulated by {regulator} and audited regularly; claims follow strict standards.,Trust building,,INFO_REGULATOR,,"{customer_name},{company_name}",send_regulatory_info,,v1
STG-08,Product Education,9,EDU_09,en,Approval time is often within {approval_hours} hours for standard cases.,Set expectation,,INFO_PROCESS_TIME,,"{customer_name},{company_name}",present_timeline,,v1
STG-08,Product Education,10,EDU_10,en,"You can manage your policy online via our app/portal—updates, downloads, and support.",Self-service,,INFO_ONLINE,,"{customer_name},{company_name}",portal_link,,v1
STG-09,Objection Handling,1,OBJH_01,en,I understand budget matters. Let’s start with a comfortable monthly and tailor coverage around it.,Address cost,,HESITATION_COST,STG-05,"{customer_name},{company_name}",budget_slider,,v1
STG-09,Objection Handling,2,OBJH_02,en,Totally understandable—I'll send a summary and schedule a quick follow-up tomorrow. What time works?,Delay/think,,HESITATION_THINK,STG-12,"{customer_name},{company_name}",send_summary;schedule_followup,,v1
STG-09,Objection Handling,3,OBJH_03,en,It’s smart to decide together—shall I share details for both of you and set a joint call?,Spouse involvement,,HESITATION_SPOUSE,STG-12,"{customer_name},{company_name}",send_joint_summary;schedule_joint_call,,v1
STG-09,Objection Handling,4,OBJH_04,en,We’re transparent—here’s the fee table and policy wording before any commitment.,Trust & fees,,HESITATION_FEES,,"{customer_name},{company_name}",send_fee_table,,v1
STG-09,Objection Handling,5,OBJH_05,en,Many healthy clients lock lower premiums early; it’s about preparing while rates are favorable.,Healthy no-need,,HESITATION_HEALTHY,,"{customer_name},{company_name}",,,v1
STG-09,Objection Handling,6,OBJH_06,en,"Starting small is fine—core protection now, add riders later when budget allows.",Budget tight,,HESITATION_COST,STG-05,"{customer_name},{company_name}",,,v1
STG-09,Objection Handling,7,OBJH_07,en,Sorry to hear that—what happened before? I’ll make sure we avoid those pitfalls.,Bad experience,,HESITATION_EXPERIENCE,,"{customer_name},{company_name}",capture_experience,,v1
STG-09,Objection Handling,8,OBJH_08,en,"If timing isn’t great, I can send a 1-minute summary and set a 10-minute slot later.",Time constraint,,HESITATION_TIME,STG-12,"{customer_name},{company_name}",send_micro_summary;schedule_short_call,,v1
STG-09,Objection Handling,9,OBJH_09,en,"Happy to compare neutrally against your criteria—price, coverage, waiting periods. Shall we do that?",Comparing options,,HESITATION_COMPARE,,"{customer_name},{company_name}",comparison_tool,,v1
STG-09,Objection Handling,10,OBJH_10,en,We’re regulated by {regulator} and maintain strong solvency ratios. I can share independent ratings.,Insurer trust,,HESITATION_TRUST,,"{customer_name},{company_name}",send_ratings,,v1
STG-09,Objection Handling,11,OBJH_11,en,Understood. May I send a 30-second summary in case timing changes later?,Not interested,,HESITATION_NOT_INTERESTED,STG-12,"{customer_name},{company_name}",send_micro_summary,,v1
STG-09,Objection Handling,12,OBJH_12,en,"If you’d like, we can lock today’s quote and you can decide after reviewing the details.",Ethical urgency,,URGENCY_LOCK,,"{customer_name},{company_name}",lock_offer,,v1
STG-10,Pricing & Plan Fit,1,PPF_01,en,"Based on your budget {currency}{budget_month}, here are two options: lowest premium vs balanced protection.",Present options,budget_month,,,"{customer_name},{company_name}",show_options,,v1
STG-10,Pricing & Plan Fit,2,PPF_02,en,"At {currency}{desired_coverage} coverage, monthly premium is ~{currency}{estimated_premium}.",Quote,desired_coverage,,,"{customer_name},{company_name}",calculate_quote,,v1
STG-10,Pricing & Plan Fit,3,PPF_03,en,"If we add a critical illness rider, total premium becomes ~{currency}{premium_with_ci}.",Quote with rider,ci_rider,,,"{customer_name},{company_name}",rider_quote,,v1
STG-10,Pricing & Plan Fit,4,PPF_04,en,Annual payment reduces cost by {discount_percent}%.,Discount detail,discount_percent,,,"{customer_name},{company_name}",apply_discount,,v1
STG-10,Pricing & Plan Fit,5,PPF_05,en,Decreasing term for mortgage keeps premiums efficient while tracking loan balance.,Align to need,,,,"{customer_name},{company_name}",map_to_decreasing_term,,v1
STG-10,Pricing & Plan Fit,6,PPF_06,en,Whole life builds cash value—here’s the projection over 10 years.,Cash value education,,,,"{customer_name},{company_name}",cash_value_projection,,v1
STG-10,Pricing & Plan Fit,7,PPF_07,en,Indexation keeps benefits aligned with inflation—opt in at {indexation_rate}% per year?,Indexation offer,indexation_rate,,,"{customer_name},{company_name}",enable_indexation,,v1
STG-10,Pricing & Plan Fit,8,PPF_08,en,Bundle family coverage to save ~{discount_percent}% overall.,Bundle savings,discount_percent,,,"{customer_name},{company_name}",bundle_family,,v1
STG-10,Pricing & Plan Fit,9,PPF_09,en,Starter plan today with option to upgrade later—keeps monthly within {currency}{budget_month}.,Stage plan,budget_month,,,"{customer_name},{company_name}",stage_plan,,v1
STG-10,Pricing & Plan Fit,10,PPF_10,en,"Here’s a side-by-side comparison vs your criteria: price, coverage, riders, waiting periods.",Comparison,,,,"{customer_name},{company_name}",comparison_tool,,v1
STG-11,Closing,1,CLS_01,en,Shall we secure your coverage now? The application takes about {apply_minutes} minutes.,Commitment,,,,"{customer_name},{company_name}",start_application,,v1
STG-11,Closing,2,CLS_02,en,Would you prefer to complete this over the phone or via a secure link?,Channel choice,,,,"{customer_name},{company_name}",send_application_link,,v1
STG-11,Closing,3,CLS_03,en,"If we begin now, your coverage can start by {coverage_start} pending approval.",Immediate value,,,,"{customer_name},{company_name}",present_timeline,,v1
STG-11,Closing,4,CLS_04,en,I’ll walk you through the disclosures and submit together—step by step.,Guided process,,,,"{customer_name},{company_name}",application_flow,,v1
STG-11,Closing,5,CLS_05,en,We can lock today’s quote so you’re protected from rate changes while you review.,Rate lock,,,,"{customer_name},{company_name}",lock_offer,,v1
STG-11,Closing,6,CLS_06,en,Would a starter plan make it easier to begin? We can upgrade later.,Reduce friction,,,,"{customer_name},{company_name}",stage_plan,,v1
STG-11,Closing,7,CLS_07,en,Do you want to add accident or critical illness riders now or keep it simple for today?,Upsell/choice,,,,"{customer_name},{company_name}",present_rider_options,,v1
STG-11,Closing,8,CLS_08,en,Great—let’s confirm your details and proceed with the quick application.,Confirmation,,,,"{customer_name},{company_name}",prefill_crm,,v1
STG-11,Closing,9,CLS_09,en,"If you’d rather review first, I’ll send a tailored summary and set a quick follow-up.",Gentle close,,,STG-12,"{customer_name},{company_name}",send_summary;schedule_followup,,v1
STG-11,Closing,10,CLS_10,en,Any final questions before we proceed?,Check remaining doubts,,,,"{customer_name},{company_name}",,,v1
STG-12,Follow-up,1,FUP_01,en,I’ll send a concise summary with your options and a link to apply when ready.,Next step,,,,"{customer_name},{company_name}",send_summary,,v1
STG-12,Follow-up,2,FUP_02,en,What’s a good time tomorrow for a 10-minute call?,Schedule,,,,"{customer_name},{company_name}",schedule_followup,,v1
STG-12,Follow-up,3,FUP_03,en,Would you like me to include details for your spouse/partner?,Co-decision,,,,"{customer_name},{company_name}",send_joint_summary,,v1
STG-12,Follow-up,4,FUP_04,en,I’ll share the fee table and policy wording so everything’s crystal clear.,Transparency,,,,"{customer_name},{company_name}",send_fee_table;policy_wording,,v1
STG-12,Follow-up,5,FUP_05,en,"If you prefer chat/app, I can send the secure application link there.",Channel adaptation,,,,"{customer_name},{company_name}",send_application_link,,v1
STG-12,Follow-up,6,FUP_06,en,I’ve set a reminder and locked your quote; you’ll receive a confirmation message.,Retention,,,,"{customer_name},{company_name}",lock_offer;set_reminder,,v1
STG-12,Follow-up,7,FUP_07,en,"Would you like educational guides (term vs whole, riders) sent to your email?",Education,,,,"{customer_name},{company_name}",send_guides,,v1
STG-12,Follow-up,8,FUP_08,en,"If timing changes, just reply ‘READY’ and we’ll proceed.",Reactivation,,,,"{customer_name},{company_name}",await_signal,,v1
STG-13,Compliance,1,CMP_01,en,"Before we proceed, I’ll read a brief disclosure about data use and product suitability.",Disclosure,,,,"{customer_name},{company_name}",play_disclosure,,v1
STG-13,Compliance,2,CMP_02,en,This conversation may be recorded for quality and compliance—okay to continue?,Consent,,,,"{customer_name},{company_name}",record_consent,,v1
STG-13,Compliance,3,CMP_03,en,I’ll verify your identity details and confirm accuracy for the application.,Verification,,,,"{customer_name},{company_name}",verify_identity,,v1
STG-13,Compliance,4,CMP_04,en,We’ll capture your health information strictly for underwriting and not share without consent.,Privacy assurance,,,,"{customer_name},{company_name}",privacy_statement,,v1
STG-13,Compliance,5,CMP_05,en,I’ll summarize the key exclusions and waiting periods relevant to your chosen plan.,Policy clarity,,,,"{customer_name},{company_name}",exclusions_summary,,v1
STG-13,Compliance,6,CMP_06,en,You have a {free_look_days}-day free-look period to cancel for a full refund.,Customer rights,,,,"{customer_name},{company_name}",policy_wording,,v1
