product_id,product_name,product_type,objective,age_min,age_max,requires_medical_exam,medical_exam_threshold_thb,health_requirements,coverage_min_thb,coverage_max_thb,premium_min_month_thb,premium_max_month_thb,payment_frequency_options,term_years,cash_value,indexation_available,underwriting_level,riders_available,target_segments,promo_eligibility,currency,regulator,notes
CIT2,CriticalProtect 50,Critical Illness,Critical illness protection,20,60,True,4000000.0,Medical exam for high sum assured,1000000,4000000,900,2500,Monthly;Annual,25.0,False,True,Full,—,High protection seekers,Bundle with HealthCare 10% off,THB,OIC,"Covers 50 conditions, enhanced benefits"
EN10,Endowment Smart 10,Endowment,Savings + guaranteed payout,25,60,True,3000000.0,Medical exam over threshold,500000,5000000,1500,6000,Monthly;Annual,10.0,True,False,Standard,Waiver of Premium,Savers;Retirement planners,Annual payment 6% off,THB,OIC,Guaranteed maturity value in year 10
EN15,Endowment Smart 15,Endowment,Savings + guaranteed payout,25,60,True,3000000.0,Medical exam over threshold,500000,6000000,1200,5500,Monthly;Annual,15.0,True,False,Standard,Waiver of Premium,Long-term savers,Annual payment 7% off,THB,OIC,Bonus at year 5 and 10
RET1,RetireShield 60/65,Pension/Annuity,Retirement income,30,55,True,4000000.0,Medical exam over threshold,1000000,10000000,2000,9000,Monthly;Quarterly;Annual,,True,True,Full,—,Mid-career professionals,Tax-season promo,THB,OIC,Income from age 60/65
RET2,RetireShield Flex,Pension/Annuity,Retirement income,30,60,True,5000000.0,Medical exam over threshold,1500000,12000000,2500,10000,Monthly;Quarterly;Annual,,True,True,Full,—,Late starters,Bundle with Whole Life 5% off,THB,OIC,Flexible start age for annuity
MFAM,MultiFamily Protect,Term Bundle,Family protection bundle,25,60,True,6000000.0,Basic health questionnaire,2000000,12000000,1800,6000,Monthly;Annual,25.0,False,True,Standard,Accidental Death;Child Education,Families with 2+ dependents,Family month 8% off,THB,OIC,Includes child education rider
BUS1,BizOwner Shield,Term/Keyman,Business continuity,25,65,True,8000000.0,Medical exam over threshold,3000000,20000000,2500,12000,Monthly;Annual,20.0,False,True,Full,Accidental Death;Disability,SME owners;Key employees,SME week promo,THB,OIC,Keyman & buy-sell compatible
MICRO,MicroTerm Starter,Term,Starter protection,18,35,False,,No exam; declaration only,300000,1000000,200,500,Monthly,10.0,False,True,Simplified,Accidental Death,Students;First-jobbers,Digital-only 3% off,THB,OIC,"Low cost entry, mobile onboarding"
WOM1,WomenCare Plus,Term + Rider,Women’s health focus,20,60,True,2000000.0,Exam for high coverage,500000,3000000,700,2000,Monthly;Annual,20.0,False,True,Standard,Female Cancer;Maternity Complications,Women 25–45,Women’s month promo,THB,OIC,Specialized female cancer benefits
SNR1,SeniorTerm 70,Term,Senior protection,55,70,True,2000000.0,Simplified exam,300000,2000000,900,3000,Monthly;Annual,10.0,False,False,Simplified,Accidental Death;Hospital Income,Seniors,No promo,THB,OIC,Short term coverage for seniors
TRV1,TravelAccident Global,Accident/Travel,Travel accident,18,65,False,,None,1000000,3000000,250,700,Per Trip;Annual,1.0,False,False,None,—,Frequent travelers,Holiday promo,THB,OIC,Worldwide accident cover (non-medical)
HOSP,HospitalIncome Daily,Rider,Income during hospitalization,18,65,False,,Declaration only,300000,1000000,400,1000,Monthly,,False,False,Simplified,—,Anyone with base policy,Bundle 5% off,THB,OIC,Pays daily cash while hospitalized
MORT,MortgageShield,Decreasing Term,Mortgage protection,25,60,True,6000000.0,Basic questionnaire,1000000,10000000,800,2500,Monthly;Annual,25.0,False,True,Standard,Accidental Death,Homeowners,Mortgage partner promo,THB,OIC,Sum assured decreases with loan balance
UNI1,UniStudent Protect,Term,Student budget protection,18,28,False,,Declaration only,200000,800000,150,400,Monthly,5.0,False,True,Simplified,Accidental Death,University students,Back-to-school promo,THB,OIC,Ultra-low premium for students
DI1,DisabilityIncome Plus,Rider,Income protection,20,60,True,2000000.0,Exam at higher coverage,500000,2000000,600,1800,Monthly,,False,True,Standard,—,Primary earners,Bundle 7% off,THB,OIC,Monthly income if disabled
HYBR,HybridProtect Term+Cash,Hybrid,Protection + small savings,22,55,True,4000000.0,Exam over threshold,800000,8000000,1200,3500,Monthly;Annual,20.0,True,True,Standard,Accidental Death;Critical Illness,Modern families,Q3 promo 5% off,THB,OIC,Term coverage with modest cash value feature
KID1,KidEdu Booster,Child/Endowment,Education savings,20,50,False,,No major illness in parent,300000,3000000,700,2500,Monthly;Annual,15.0,True,False,Simplified,Parent Waiver,Parents of 0–10 y/o,School season promo,THB,OIC,Guaranteed payout at key education milestones
GRP1,GroupProtect SME,Group Term,Employee protection,21,65,False,,Employer declaration,2000000,20000000,5000,40000,Monthly;Annual,1.0,False,False,None,Accidental Death;Health Riders,SMEs 10–200 staff,SME week promo,THB,OIC,"Priced per group, simplified onboarding"
